name,year,magnitude,focal_depth,damage
"IRAN:  MAKU,SHAH BANDALU,QURTA BOLAGH,QONDEQLI",1968,5.3,34.0,100.0
JAPAN:  OFF EAST COAST OF HONSHU ISLAND,1968,8.2,7.0,330.0
PHILIPPINES:  LUZON:  MANILA,1968,7.3,36.0,261.0
IRAN:  DASHT-E-BAYAZ,1968,7.3,13.0,17000.0
"TURKEY:  BARTIN, AMASRA, CAKRAZ",1968,6.6,38.0,200.0
"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",1969,7.4,13.0,97.0
"PORTUGAL; MOROCCO:  RABAT, SALE; SPAIN:  CANARY IS",1969,7.8,22.0,80.0
ETHIOPIA:  SARDO,1969,6.2,35.0,160.0
"EGYPT:  BENI-SOUEF, AL-QAHIRAH (CAIRO)",1969,7.0,33.0,16.0
ITALY:  PERUGIA,1969,4.7,33.0,4.0
INDIA:  BROACH,1970,5.4,3.0,200.0
TURKEY:  GEDIZ,1970,7.4,20.0,1174.0
PHILIPPINES:  LUZON,1970,7.3,40.0,200.0
"TURKEY:  DEMIRCI, MANISA",1970,5.7,18.0,43.0
"PERU: NORTHERN, PISCO, CHICLAYO",1970,7.9,43.0,50000.0
"SEIKAIDO, JAPAN",1970,7.0,34.0,13.0
"IRAN:  KARNAVEH, MAREV",1970,6.7,16.0,220.0
BALKANS NW:  CROATIA:  KNIN,1970,5.5,5.0,8.0
COLOMBIA:  BAHIA SOLANO,1970,6.6,8.0,2.0
PAPUA NEW GUINEA:  MADANG,1970,7.3,8.0,20.0
PERU:  N;  ECUADOR:  S,1970,7.6,25.0,350.0
ITALY:  TUSCANIA,1971,4.6,33.0,150.0
CALIFORNIA:  SAN FERNANDO,1971,6.5,8.0,2000.0
"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",1971,5.2,35.0,6.0
CHILE:  CENTRAL,1971,7.8,58.0,447.0
PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE,1971,7.9,47.0,5.0
"ITALY:  CENTRAL, ANCONA",1972,4.8,25.0,2.0
PERU:  JUANJUI,1972,6.1,64.0,50.0
"IRAN:  QIR,KARZIN, JAHROM, FIRUZABAD",1972,6.9,11.0,1700.0
TAIWAN:  HUALIEN,1972,6.9,33.0,11.0
"AFGHANISTAN:  HINDU KUSH:  SARSANGI, NARIN COUNTIES",1972,6.1,47.0,15.0
NICARAGUA:  MANAGUA,1972,6.2,5.0,20000.0
"MEXICO:  S, FARIAS, TECOMAN",1973,7.5,43.0,390.0
"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",1973,7.5,33.0,64.0
"COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO",1973,6.5,33.0,100.0
HAWAII: HILO,1973,6.5,48.0,11.0
JAPAN:  HOKKAIDO ISLAND,1973,7.7,48.0,27.0
RUSSIA:  KURIL ISLANDS,1973,7.1,50.0,1.0
TURKEY:  IZMIR,1974,5.2,29.0,20.0
JAPAN:  NAKAGI,1974,6.5,2.0,102.0
"JAPAN:  HONSHU:  KAKIOTA,  MITO, TOKYO",1974,5.7,58.0,17.0
"PERU:  LIMA, CALLAO",1974,8.1,13.0,2414.0
ANTIGUA AND BARBUDA; ST KITTS,1974,7.5,47.0,4.0
"PAKISTAN:  BALAKOT, PATAN",1974,6.2,22.0,17000.0
"CHILE:  COQUIMBO, LA SERENA",1975,6.9,4.0,25.0
"JAPAN:  OITA, AROSAN",1975,6.1,7.0,8.0
ALGERIA:  DJEBEL BABOR,1975,4.3,30.0,18.0
CALIFORNIA:  OROVILLE,1975,5.6,15.0,10.0
TURKEY:  LICE,1975,6.7,26.0,3372.0
GREECE:  KATO-MAKRINOU,1975,5.5,19.0,10.0
"GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY",1976,7.5,5.0,76000.0
GUATEMALA,1976,5.1,5.0,50.0
"ITALY:  NE, BALKANS NW:   SLOVENIA: NW",1976,6.5,9.0,1700.0
INDONESIA:  BALI,1976,6.5,40.0,4755.0
CHINA:  NE:  TANGSHAN,1976,7.5,23.0,799000.0
PHILIPPINES:  MINDANAO:  S,1976,8.0,33.0,3500.0
TURKEY:  DENIZLI,1976,4.9,3.0,50.0
"CHILE:  POZO ALMONTE, OFICINA VICTORIA, ARICA",1976,7.3,82.0,13.0
SOUTH AFRICA,1976,5.2,33.0,36.0
ROMANIA:  BUCHAREST,1977,7.5,89.0,10500.0
PHILIPPINES:  LUZON:  MANILA,1977,7.3,37.0,9.0
IRAN:  BANDAR ABBAS,1977,6.9,29.0,556.0
"IRAN:  NAGHAN,ARDAL,JAGHDAN,DASTGERD,KORDAN,SARMUR",1977,5.9,41.0,200.0
SOLOMON ISLANDS,1977,8.1,33.0,1.0
IRAN:  AZARBAIJAN,1977,5.4,37.0,9.0
TONGA TRENCH,1977,7.2,65.0,5.0
ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA,1977,7.4,13.0,300.0
IRAN:  BAB-TANGOL,1977,5.8,31.0,1000.0
"JAPAN:  TOKKAIDO, OSHIMA",1978,6.6,14.0,129.0
TURKEY,1978,4.5,33.0,20.0
"JAPAN:  OFUNATO, TOHOKU",1978,6.1,60.0,30.0
MEXICO:  ACAPULCO,1978,6.6,36.0,25.0
"GREECE:  THESSALONIKI, VOLVI, LANGADAS",1978,5.6,10.0,2.0
JAPAN:  S HONSHU:  HIROSHIMA,1978,4.9,4.0,1.0
JAPAN:  SANRIKU,1978,7.7,44.0,10000.0
CHILE:  NORTHERN:  COPIAPO-TALTAI,1978,7.0,58.0,13.0
CALIFORNIA:  SOUTHERN,1978,5.6,7.0,65.0
TAIWAN:  PINTUNG,1978,7.0,33.0,3.0
MEXICO:  GUERRERO,1979,7.6,49.0,35.0
BALKANS NW:  MONTENEGRO,1979,6.9,10.0,1001.0
