name,year,magnitude,focal_depth,damage
YEMEN:  WESTERN  ARABIAN PENINSULA,1991,4.7,10.0,40.0
"IRAN:  RUDBAR, RASHT",1991,5.0,16.0,70.0
JAPAN:  HONSHU:  TOKYO,1992,5.6,100.0,37.0
"INDONESIA:  JAWA, BREBES",1992,4.4,58.0,1.0
IRAN:  LORDEGAN ARDAL AREA,1992,4.6,18.0,50.0
TURKEY:  ERZINCAN,1992,6.9,27.0,2000.0
"THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG",1992,5.2,21.0,45.0
"CALIFORNIA:  JOSHUA TREE, ANGELUS OAKS",1992,6.3,12.0,32.0
"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA",1992,7.1,15.0,98.0
"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL",1992,6.0,16.0,100.0
"CUBA:  PILON, MANZANILLO",1992,7.0,23.0,40.0
"CALIFORNIA: LANDERS, YUCCA  VALLEY",1992,7.6,1.0,400.0
PAKISTAN:  KALAT,1992,5.5,9.0,200.0
IRAN:  FIRUZABAD,1992,4.7,18.0,11.0
CONGO:  KABALO,1992,7.0,11.0,37.0
EGYPT:  CAIRO,1992,5.3,22.0,6512.0
"COLOMBIA:  MURINDO, CALI",1992,7.0,14.0,20.0
"COLOMBIA:  MURINDO, APARTADO, MEDELLIN",1992,7.4,10.0,115.0
"INDONESIA:  FLORES REGION, MAUMERE, BABI",1992,7.8,28.0,500.0
CHINA:  YUNNAN PROVINCE,1993,5.6,33.0,66.0
FUTUNA ISLAND,1993,6.4,10.0,201.0
CHINA:  TIBET (XIZANG PROVINCE): NGAMRING,1993,6.2,12.0,3.0
"COSTA RICA:  TURRIALBA, CARTAGO",1993,5.8,20.0,9.0
JAPAN:  HOKKAIDO; RUSSIA:  SOUTHEAST; SOUTH KOREA,1993,7.7,17.0,233.0
SUDAN:  KHARTOUM,1993,5.5,13.0,9.0
"GUAM:  TUMAN BAY, APRA HARBOR",1993,7.8,59.0,48.0
GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS,1993,7.2,34.0,3.0
"INDIA:  LATUR-OSMANABAD, KILLARI",1993,6.2,7.0,30000.0
PAPUA NEW GUINEA:  EASTERN:  UPPER MARKHAM VALLEY,1993,6.9,25.0,200.0
INDIA:  LATUR,1993,4.6,10.0,25.0
CHINA:  SOUTHERN XINJIANG:  SHUFU,1993,5.6,18.0,4.0
CHINA:  QINGHAI PROVINCE:  GONGHE,1994,5.7,8.0,5.0
CALIFORNIA:  NORTHRIDGE,1994,6.7,18.0,7000.0
INDONESIA:  KAU,1994,7.0,20.0,300.0
"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",1994,6.9,23.0,2000.0
IRAN:  SOUTHERN:  FIRUZABAD,1994,6.1,13.0,50.0
"TAIWAN:  CHI-LUNG, I-LAN, TAIPEI, NAN-AO",1994,6.4,11.0,2.0
"IRAN:  FIRUZABAD, SHIRAZ",1994,5.9,9.0,100.0
RUSSIA:  KURIL ISLANDS; JAPAN:  HOKKAIDO,1994,8.3,14.0,382.0
INDONESIA:  HALMAHERA,1994,6.8,17.0,52.0
PHILIPPINES:  MINDORO,1994,7.1,32.0,225.0
JAPAN:  HONSHU,1994,7.8,27.0,200.0
"CHINA:  GUANGXI PROVINCE, GUANDONG PROVINCE",1994,5.3,33.0,360.0
"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA",1995,6.9,22.0,36896.0
"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA",1995,6.4,74.0,400.0
"CYPRUS:  PAPHOS, NICOSIA, ARODHES, PERISTERONA",1995,5.9,10.0,5.0
"GREECE:  GREVENA-KOZANI, THESSALONIKI, YUGOSLAVIA",1995,6.6,14.0,25.0
"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO",1995,7.1,11.0,750.0
"GREECE:  AIYION, ERATINI",1995,6.5,14.0,60.0
"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND",1995,6.8,13.0,136.0
"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI",1995,5.6,13.0,60.0
"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES",1995,8.0,46.0,58.0
"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",1995,7.4,23.0,100.0
"TURKEY:   DINAR, EVCILER",1995,6.4,33.0,348.0
ECUADOR:  QUITO,1995,7.0,24.0,5.0
"INDONESIA:  SUMATERA, JAMBI PROVINCE",1995,6.8,33.0,1868.0
"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",1995,8.0,33.0,200.0
JAPAN:  RYUKU IS.,1995,7.1,28.0,1.0
CHINA:  YUNNAN PROVINCE:  WUDING,1995,6.2,10.0,800.0
CHINA:  YUNNAN PROVINCE:  LIJIANG,1996,6.6,11.0,17057.0
"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",1996,8.2,33.0,423.0
"CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI",1996,6.3,28.0,128.0
"CHINA:  NEI MONGOL:  BAOTOU, BEIJING, HOHHOT",1996,6.0,26.0,330.0
"PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA",1996,7.7,33.0,560.0
CHINA:  SOUTHERN XINJIANG:  JIASHI COUNTY,1997,5.9,33.0,40.0
"IRAN:  BOJNURD, SHIRVAN, ESFARAYEN",1997,6.5,10.0,1948.0
IRAN:  ARDABIL,1997,6.1,10.0,2600.0
"CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",1997,5.6,22.0,6.0
"CHINA:  S. XINJIANG, JIASHI COUNTY",1997,5.9,33.0,23.0
"CHINA:  S. XINJIANG, BACHU, SHULE, YINGJISHA",1997,6.2,15.0,89.0
TOBAGO,1997,6.7,5.0,2.0
GUAM,1997,6.5,101.0,4.0
"IRAN:  BIRJAND, GHAEN",1997,7.2,10.0,2300.0
INDIA:  SOUTHERN:  JABALPUR,1997,5.8,36.0,1000.0
VENEZUELA:  CARIACO-CUMANA,1997,7.0,20.0,522.0
SOUTH AFRICA:  AVGOLD'S HARTEBEESTFONTEIN MINE,1997,5.0,5.0,46.0
"ITALY:  CENTRAL:  MARCHE, UMBRIA",1997,6.0,10.0,100.0
"INDONESIA:  SULAWESI, PAREPARE",1997,5.9,33.0,300.0
"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",1997,7.1,58.0,300.0
"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH",1997,6.1,54.0,200.0
"CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",1998,5.7,30.0,11500.0
"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",1998,6.6,33.0,27.0
AFGHANISTAN:  ROSTAQ; TAJIKISTAN:  DUSHANBE,1998,5.9,33.0,818.0
"AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR",1998,6.4,236.0,11.0
"IRAN:  GOLBAF, BAFT, KERMAN",1998,6.6,9.0,50.0
"IRAN:  BIRJAND, GONABAD",1998,5.8,33.0,10.0
"BOLIVIA:  CENTRAL:  AIQUILE, TOTORA",1998,6.6,24.0,150.0
CHINA:  SOUTHERN XINJIANG,1998,5.6,33.0,28.0
"TURKEY:  ADANA, CEYHAN",1998,6.3,33.0,1500.0
"AZORES:  FAIAL, PICO, TERCEIRA",1998,6.2,10.0,100.0
"TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",1998,5.7,13.0,27.0
"ECUADOR:  BAHIA DE CARAQUEZ, CANOA",1998,7.2,33.0,40.0
CHINA:  SOUTHERN XINJIANG:  JIASHI,1998,6.4,33.0,7.0
"BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO",1998,5.5,10.0,17.0
IRAN:  SOUTHERN:  BIGHERD-KHONJ,1998,5.4,33.0,105.0
"CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG",1998,5.6,33.0,1543.0
"INDONESIA:  MANGOLE, MANADO, TALIABU",1998,7.7,33.0,107.0
CHINA:  YUNNAN PROVINCE  SOUTHEASTERN,1998,4.5,10.0,84.0
"COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA",1999,6.2,17.0,4750.0
"SPAIN:  MULA, PUEBLA DE MULA",1999,4.8,10.0,20.0
"AFGHANISTAN:  LOWGAR, VARDAK, KABUL",1999,6.0,33.0,500.0
CHINA:  NE: ZHANGBEI COUNTY,1999,5.1,33.0,3.0
"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",1999,6.6,15.0,394.0
"PERU:  CAMANA, AREQUIPA",1999,6.8,87.0,50.0
IRAN:  SOUTHERN:  FARS PROVINCE,1999,6.2,33.0,100.0
"AZERBAIJAN:  AGDAS, UCAR, AGALI",1999,5.4,33.0,18.0
"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",1999,7.0,70.0,200.0
GUATEMALA:  IZABAL-PUERTO BARRIOS; HONDURAS:  W,1999,6.7,10.0,40.0
"BANGLADESH:  MAHESHKHALI ISLAND, COX'S BAZAAR",1999,4.2,10.0,200.0
"TURKEY:  ISTANBUL, KOCAELI, SAKARYA",1999,7.6,13.0,50000.0
TURKEY:  IZMIT,1999,5.2,10.0,166.0
GREECE:  ATHENS,1999,6.0,10.0,1600.0
TURKEY:  ADAPAZARI-GOLUCK-KOCAELI,1999,5.8,13.0,422.0
"TAIWAN:  NANTOU, TAICHUNG, TAIZHONG",1999,7.7,33.0,8700.0
MEXICO:  OAXACA,1999,7.5,61.0,215.0
TAIWAN:  CHIA-I,1999,5.9,33.0,254.0
"PERU:  CHUSCHI, CANGALLo, HUANCAPI",1999,4.4,62.0,30.0
CHINA:  SHANXI:  NORTHEASTERN,1999,5.3,10.0,4.0
"TURKEY:  ADAPAZARI, KOCEALI, GOLCUK",1999,5.7,22.0,171.0
"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",1999,7.2,10.0,4948.0
CHINA:  YUNNAN PROVINCE:  CHENGJIANG,1999,4.6,33.0,5.0
VANUATU ISLANDS:  PENTECOST,1999,7.5,33.0,100.0
"TURKEY:  GORESKEN, ERZURUM PROVINCE",1999,5.7,19.0,6.0
"PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ",1999,7.3,33.0,40.0
"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",1999,6.5,56.0,220.0
ALGERIA:  NORTHERN:  AIN TEMOUCHENT,1999,5.6,10.0,175.0
CHINA:  LIAONING PROVINCE,2000,5.1,10.0,30.0
CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,2000,5.9,33.0,2528.0
"IRAN:  BARDASKAN, KASHMAR",2000,5.3,33.0,15.0
SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,2000,4.5,5.0,1.0
"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",2000,7.6,26.0,264.0
TAIWAN:  TAI-CHUNG COUNTY,2000,5.4,10.0,13.0
"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",2000,7.9,33.0,2174.0
"TURKEY:  CERKES, CUBUK, ORTA",2000,6.0,10.0,80.0
TAIWAN:  NAN-TOU,2000,6.4,33.0,36.0
"ICELAND:  VESTMANNAEYJAR, HELLA",2000,6.5,10.0,1.0
NICARAGUA:  MASAYA,2000,5.4,33.0,42.0
"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",2000,5.4,33.0,6.0
JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,2000,6.1,10.0,10.0
"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",2000,6.4,33.0,6.0
JAPAN:  HONSHU:  S,2000,6.5,10.0,1.0
"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",2000,6.8,10.0,8.0
CHINA:  YUNNAN PROVINCE:  WUDING,2000,4.2,33.0,406.0
CALIFORNIA:  NAPA,2000,5.0,10.0,41.0
"TANZANIA:  NKANSI, RUKWA",2000,6.5,34.0,6.0
"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",2000,6.7,10.0,130.0
PANAMA-COLOMBIA:  JURADO,2000,6.5,17.0,2.0
AZERBAIJAN:  BAKU,2000,6.8,50.0,430.0
TURKEY:  AFYON-BOLVADIN,2000,6.0,10.0,41.0
EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT.,2001,7.7,60.0,4723.0
"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",2001,7.7,16.0,166836.0
EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,2001,6.6,10.0,3399.0
"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",2001,5.6,33.0,109.0
"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",2001,6.8,52.0,400.0
"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",2001,6.8,50.0,161.0
CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,2001,5.5,33.0,605.0
AFGHANISTAN:  HINDU KUSH:  PARVAN,2001,5.0,62.0,20.0
"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",2001,8.4,33.0,2713.0
TURKEY:  OSMANIYE,2001,5.5,5.0,130.0
"PERU:  AREQUIPA, ARICA",2001,7.6,33.0,30.0
CHINA:  YUNNAN PROVINCE:  JIANGCHUAN,2001,4.3,33.0,2.0
PERU:  ANTABAMA,2001,5.8,33.0,15.0
GUAM,2001,7.0,37.0,1.0
CHINA:  YUNNAN PROVINCE:  YONGSHENG,2001,5.6,10.0,220.0
BANGLADESH:  DHAKA,2001,4.5,10.0,100.0
TAJIKISTAN:  ROGHUN,2002,5.3,33.0,50.0
TURKEY:  AFYON,2002,6.5,5.0,318.0
IRAN:  BAGHAN,2002,5.4,33.0,30.0
PHILIPPINES:  MINDANAO,2002,7.5,31.0,100.0
"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",2002,6.1,8.0,200.0
TAIWAN:  TAIPEI,2002,7.1,33.0,200.0
TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,2002,5.9,10.0,150.0
"CHILE:  COPIAPO, TALTAL",2002,6.6,62.0,19.0
BALKANS NW:  KOSOVO; MACEDONIA:  N,2002,5.7,10.0,60.0
IRAN:  WESTERN:  KERMANSHAH,2002,5.4,33.0,56.0
GEORGIA:  TBILISI,2002,4.3,10.0,52.0
GUAM,2002,7.1,86.0,5.0
"ARGENTINA:  AMINGA, ANILLACO, AGUA BLANCA, CHUQUIS",2002,6.0,22.0,27.0
"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",2002,4.5,40.0,55.0
IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,2002,6.5,10.0,1300.0
"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL",2002,6.5,10.0,11.0
ITALY:  SICILY:  PALERMO,2002,6.0,5.0,20.0
"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",2002,7.6,13.0,70.0
"UNITED KINGDOM:  MANSFIELD, DUDLEY",2002,4.8,9.0,1.0
MEXICO:  ACAPULCO,2002,5.3,6.0,2.0
IRAN:  MASJED-E SOLEYMAN,2002,5.6,10.0,5.0
"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",2002,7.6,10.0,632.0
ITALY:  SICILY:  SANTA VENERINA,2002,4.3,10.0,9.0
"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",2002,5.7,10.0,135.0
PAKISTAN:  GILGIT,2002,5.4,33.0,40.0
INDONESIA:  SUMATERA:  SIMEULUE,2002,7.3,30.0,65.0
"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",2002,7.9,5.0,1.0
"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",2002,6.3,33.0,40.0
VANUATU ISLANDS: MERE LAVA ISLAND,2002,5.9,33.0,3.0
"GREECE:  MEGALOPOLIS, VARTHOLOMION",2002,5.7,10.0,17.0
IRAN:  KERMANSHAH,2002,5.2,33.0,15.0
"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",2003,7.5,24.0,300.0
INDONESIA:  SUMBAWA ISLAND:  DOMPU,2003,5.5,33.0,2.0
CHINA:  S. XINJIANG:  BACHU,2003,6.3,11.0,4000.0
INDONESIA:  FLORES:  REO,2003,6.5,33.0,20.0
"TURKEY:  IZMIR, SEFERIHISAR",2003,5.7,10.0,90.0
TURKEY:  BINGOL,2003,6.4,10.0,521.0
CHINA:  S. XINJIANG:  YOPURGA,2003,5.8,10.0,3.0
"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",2003,6.8,12.0,10261.0
"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",2003,7.0,68.0,143.0
"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2003,7.0,31.0,7.0
"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",2003,5.7,8.0,200.0
"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",2003,6.8,33.0,1.0
IRAN:  SOUTHERN: GAJJIABAD,2003,5.8,10.0,25.0
CHINA:  YUNNAN PROVINCE,2003,5.9,10.0,584.0
"JAPAN:  HONSHU:  MIYAGI, IWATE",2003,5.5,10.0,569.0
TURKEY:  WESTERN:  BULDAN,2003,5.4,10.0,10.0
BANGLADESH:  RANGAMATI,2003,5.7,10.0,25.0
"GREECE:  LEFKADA, PREVEZA",2003,6.3,10.0,50.0
"CHINA:  NEI MONGOL:  LINDONG, TIANSHAN",2003,5.4,24.0,1000.0
JAPAN:  HONSHU:  TOKYO,2003,5.7,52.0,7.0
"DOMINICAN REPUBLIC:  PUERTO PLATA, SANTIAGO",2003,6.4,10.0,15.0
JAPAN:  HOKKAIDO,2003,8.3,27.0,755.0
"RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",2003,7.3,16.0,5.0
CHINA:  YUNNAN PROVINCE:  DAYAO,2003,5.6,33.0,32.0
"CHINA:  GANSU PROVINCE:  MINLE, SHANDAN",2003,5.8,10.0,43.0
"CHINA:  GANSU PROVINCE:  JONE, LINTAN, MINXIAN",2003,5.1,10.0,30.0
"CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG",2003,5.6,33.0,65.0
PHILIPPINES:  SAMAR:  CAN-AVID,2003,6.5,35.0,21.0
CHINA:  YUNNAN PROVINCE:  LUDIAN,2003,4.7,33.0,4.0
CHINA:  XINJIANG:  ZHAOSU,2003,6.0,10.0,47.0
"TAIWAN:  T'AI-TUNG, KAO-HSIUN",2003,6.8,10.0,1.0
IRAN:  WESTERN:  MASJED-E- SOLEYMAN,2003,5.0,33.0,5.0
"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",2003,6.6,8.0,40.0
PANAMA-COSTA RICA:  PUERTO ARMUELLES,2003,6.5,33.0,75.0
"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",2003,6.6,10.0,30000.0
"INDONESIA:  BALI, LOMBOK",2004,5.8,45.0,29.0
"ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES",2004,4.4,10.0,300.0
PANAMA-COSTA RICA:  CHIRIQUI,2004,6.1,29.0,4.0
INDONESIA:  NABIRE,2004,7.0,17.0,682.0
"JORDAN:  MA'IN; ISRAEL:  JERUSALEM, PETAH-TIQWA",2004,5.3,27.0,4.0
"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",2004,5.4,11.0,40.0
INDONESIA:  SUMATRA:  PADANGPANJANG,2004,5.1,56.0,7.0
INDONESIA:  SUMATRA:  PESISIR SELATAN,2004,6.0,42.0,1.0
"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH",2004,6.4,0.0,926.0
"CHINA:  NEI MONGOL:  BAYAN UL HOT, ULIASTAI",2004,5.4,19.0,100.0
TURKEY:  ASKALE,2004,5.6,5.0,12.0
"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",2004,6.5,187.0,5.0
TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK,2004,5.2,45.0,1.0
PAKISTAN:  QUETTA,2004,4.5,10.0,30.0
"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",2004,6.3,17.0,400.0
TURKEY:  DOGUBEYAZIT,2004,5.1,5.0,21.0
"SLOVENIA: BOVEC, KOBARID",2004,5.2,8.0,5.0
"NEW ZEALAND:  NORTH ISLAND:  ROTORUA, TAURANGA",2004,5.4,5.0,2.0
AFGHANISTAN: PAKTIA PROVINCE,2004,5.2,10.0,40.0
TURKEY:  DOGUBEYAZIT,2004,4.0,5.0,5.0
TURKEY:  BODRUM,2004,5.6,10.0,15.0
CHINA:  YUNNAN PROVINCE:  LUDIAN,2004,5.4,6.0,600.0
"TURKEY:  ELAZIG, SIVRICE",2004,5.7,7.0,11.0
JAPAN:  HONSHU:  W COAST: KYOTO,2004,7.2,14.0,4.0
"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI",2004,7.4,10.0,40.0
CHINA:  GANSU PROVINCE,2004,5.2,10.0,19.0
"POLAND: SUWALKI; RUSSIA: KALININGRAD, SVETLOGORSK",2004,4.8,10.0,3.0
IRAN:  GOLESTAN,2004,5.6,35.0,60.0
CHINA:  YUNNAN PROVINCE:  BAOSHAN,2004,4.4,30.0,12.0
JAPAN:  HONSHU:  NIIGATA PREFECTURE,2004,6.6,16.0,3183.0
JAPAN:  HONSHU:  NIIGATA PREFECTURE,2004,5.9,14.0,5.0
JAPAN:  HONSHU:  NIIGATA PREFECTURE,2004,5.5,10.0,8.0
INDONESIA:  KEPULAUAN ALOR,2004,7.5,10.0,400.0
"COLOMBIA:  BAJO BAUDO, BUENAVENTURA, CERRITO",2004,7.2,15.0,10.0
"GUADELOUPE:  BASSE-TERRE, LES SAINTES",2004,6.3,14.0,12.0
ITALY:  NORTHERN:  BRESCIA,2004,5.1,17.0,9.0
INDONESIA:  NABIRE,2004,7.1,10.0,130.0
"JAPAN:  HOKKAIDO:  BEKKAI, KUSHIRO, NEMOURO",2004,7.0,39.0,24.0
ALGERIA:  BOUMERDAS,2004,4.5,10.0,15.0
ALGERIA:  ZEMMOURI,2004,4.5,10.0,46.0
JAPAN:  HOKKAIDO:  KUSHIRO,2004,6.8,35.0,4.0
"JAPAN:  HOKKAIDO:  OBIRO, HABORO, TOMAMAE",2004,5.8,10.0,3.0
TURKEY:  MARMARIS,2004,5.4,5.0,3.0
IRAN:  GORGAN,2005,5.4,32.0,110.0
INDONESIA:  SULAWESI:  PALU,2005,6.3,11.0,4.0
CHINA:  YUNNAN PROVINCE:  SIMAO,2005,4.8,12.0,3.0
TURKEY:  HAKKARI,2005,5.9,41.0,22.0
IRAN:  KERMAN PROVINCE:  ZARAND,2005,6.4,14.0,1411.0
PAKISTAN:  QUETTA,2005,4.9,52.0,1.0
"SOUTH AFRICA:  KLERKSDORP, STILFONTEIN",2005,4.3,5.0,58.0
"TURKEY:  CAT, KARLIOVA",2005,5.6,11.0,16.0
TURKEY:  EASTERN:  BINGOL PROVINCE,2005,5.8,5.0,18.0
"INDIA:  MAHARASHTRA:  KOLHAPUR, RATNAGIRI, SATARA",2005,4.9,10.0,45.0
"JAPAN:  KYUSHU:  FUKUOKA, GENKAI",2005,6.6,10.0,500.0
INDONESIA:  SUMATERA:  SW,2005,8.6,30.0,340.0
CHILE:  TARAPACA,2005,7.7,116.0,200.0
JAPAN:  HONSHU:  TOKYO,2005,5.9,61.0,27.0
CHINA:  DAQING,2005,4.7,48.0,12.0
CHINA:  YUNNAN PROVINCE:  HUIZE,2005,4.8,42.0,9.0
CHINA:  YUNNAN PROVINCE:  WENSHAN,2005,4.5,10.0,26.0
JAPAN:  EAST COAST HONSHU,2005,7.2,36.0,56.0
"PERU:  LAMAS, CHACHAPOYAS, MOYOBAMBA, TARAPOTA",2005,7.5,115.0,60.0
PERU:  MOQUEGUA,2005,5.3,20.0,10.0
"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA",2005,7.6,26.0,146599.0
TURKEY:  IZMIR,2005,5.9,10.0,15.0
CHINA:  GUANGXI PROVINCE,2005,4.2,10.0,1.0
"CHINA:  JIANGXI:  JIUJIANG, RUICHANG",2005,5.2,10.0,8000.0
"IRAN:  QESHM, ZIRANG",2005,6.0,10.0,100.0
"AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN",2005,6.5,225.0,1.0
"INDIA:  JAUSARI, CHAMOLI, NANDPRAYAG",2005,5.3,44.0,4.0
GREECE:  SOUTHERN,2006,6.7,66.0,3.0
INDIA:  SIKKIM,2006,5.3,30.0,2.0
GREECE-BULGARIA BORDER REGION,2006,4.6,10.0,2.0
MOZAMBIQUE,2006,7.0,11.0,36.0
IRAN:  SOUTHERN,2006,6.0,18.0,6.0
INDIA:  GUJARAT,2006,5.5,10.0,7.0
PAKISTAN:  MIRPUR DISTRICT,2006,4.9,10.0,22.0
ALGERIA:  NORTHERN,2006,4.9,10.0,9.0
IRAN:  SOUTHERN,2006,5.9,18.0,1.0
"IRAN:  WESTERN:  BORUJERD, DORUD",2006,6.1,7.0,1300.0
TAIWAN:  T'AIT-TUNG,2006,6.2,9.0,42.0
PAKISTAN:  BATGRAM,2006,4.8,10.0,28.0
RUSSIA:  KORYAKSKIY,2006,7.6,22.0,40.0
TONGA ISLANDS,2006,7.9,55.0,1.0
IRAN:  ZARAND,2006,4.1,14.0,70.0
"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",2006,6.3,13.0,38568.0
IRAN:  SOUTHERN:  QESHM,2006,5.1,5.0,4.0
JAPAN:  KYUSHU,2006,6.3,140.0,8.0
ALBANIA:  TEPELENE,2006,4.5,10.0,1.0
CHINA:  GANSU PROVINCE,2006,4.5,24.0,5.0
CHINA:  YANJIN,2006,4.9,56.0,106.0
TAJIKISTAN:  PANJ-QUMSANGIR,2006,5.6,34.0,19.0
CHINA:  SICHUAN PROVINCE,2006,4.6,22.0,31.0
TRINIDAD:  PORT-OF-SPAIN,2006,6.1,53.0,3.0
INDONESIA:  SUMABAWA:  BIMA,2006,6.3,43.0,14.0
"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",2006,5.8,30.0,100.0
TAIWAN:  PINGTUNG,2006,7.0,10.0,40.0
TURKEY:  E,2007,5.1,3.0,2.0
INDONESIA:  MOLUCCA ISLANDS:  N,2007,7.5,22.0,4.0
INDONESIA:  SUMATRA:  SOUTHERN,2007,6.4,19.0,826.0
"COLOMBIA:  CAUCA, SOTARA, PURACE,",2007,5.0,43.0,9.0
IRAN:  WESTERN:  DORUD,2007,4.7,16.0,35.0
JAPAN:  HONSHU:  W COAST,2007,6.7,8.0,150.0
JAPAN:  HONSHU:  W,2007,4.6,16.0,12.0
UNITED KINGDOM:  ENGLAND:  FOLKESTONE,2007,4.6,10.0,1.0
CHINA:  YUNNAN PROVINCE:  NING'ER,2007,6.1,5.0,329.0
JAPAN:  HONSHU:  W COAST,2007,6.6,10.0,1088.0
"INDIA:  UTTARKASHI, CHAMOLI, MUZAFFARNAGAR",2007,4.3,19.0,3.0
RUSSIA:  TATAR STRAIT,2007,6.2,5.0,12.0
"PERU:  ICA, PISCO, LIMA",2007,8.0,39.0,1090.0
UTAH,2007,1.6,0.0,6.0
